OBJECTID,Shape,radicado,fecha,hora,dia,periodo,clase,direccion,direccion_enc,cbml,tipo_geocod,gravedad,barrio,comuna,diseno,dia_nombre,mes,mes_nombre,longitud,latitud,x_origen_nacional,y_origen_nacional
1,"(4713547.5105, 2247612.977400001)",1580885,2017-05-05 00:00:00,02:00 PM,05,2017,Choque,CL 32 Norte CR 69,CL  032   069  000 00000,1602,Malla vial,HERIDO,Rosales,Belén,Tramo de via,VIERNES  ,05,,-75.58965933,6.23458147,4713547.5105,2247612.9774
2,"(4715357.8105, 2243807.580100002)",1585081,2017-06-06 00:00:00,11:20 AM,06,2017,Choque,CL 4 Sur CR 43 B,CL S 004   043 B  000 00000,1421,Malla vial aproximada: CL S 4-43A,SOLO DAÑOS,Patio Bonito,El Poblado,Tramo de via,MARTES   ,06,,-75.57313732,6.20025821,4715357.8105,2243807.5801
3,"(4710262.4967, 2249847.019700002)",1581508,2017-05-10 00:00:00,12:00 PM,10,2017,Choque,CL 40 CR 105,CL  040   105  000 00000,1309,Malla vial,SOLO DAÑOS,San Javier No.1,San Javier,Tramo de via,MIÉRCOLES,05,,-75.61943682,6.25463126,4710262.4967,2249847.0197
4,"(4715512.4542000005, 2246920.8745000027)",1581862,2017-05-12 00:00:00,05:30 PM,12,2017,Caida Ocupante,CL 28 CR 44,CL  028   044  000 00000,1401,Malla vial,HERIDO,Barrio Colombia,El Poblado,Tramo de via,VIERNES  ,05,,-75.57187706,6.22841134,4715512.4542,2246920.8745
5,"(4713597.201000002, 2252326.8505000006)",1578199,2017-04-14 00:00:00,04:30 AM,14,2017,Choque,CL 76 CR 80,CL  076   080  000 00000,0715,Malla vial,HERIDO,Villa Flora,Robledo,Tramo de via,VIERNES  ,04,,-75.58942029,6.27719971,4713597.201,2252326.8505
6,"(4714412.293900001, 2251933.223500002)",1591061,2017-07-25 00:00:00,10:20 AM,25,2017,Choque,CL 73 CR 72 A,CL  073   072 A  000 00000,0706,Malla vial,SOLO DAÑOS,La Pilarica,Robledo,Tramo de via,MARTES   ,07,,-75.58203844,6.27367747,4714412.2939,2251933.2235
7,"(4713334.4597, 2252669.055200001)",1587477,2017-06-25 00:00:00,10:50 PM,25,2017,Atropello,CR 85 CL 76 C,CR  085   076 C  000 00000,0715,Malla vial,HERIDO,Villa Flora,Robledo,Tramo de via,DOMINGO  ,06,,-75.59180944,6.28028167,4713334.4597,2252669.0552
8,"(4716434.8986, 2249163.7032000013)",1584072,2017-05-30 00:00:00,09:00 PM,30,2017,Choque,CL 51 CR 45,CL  051   045  000 00000,1019,Malla vial,SOLO DAÑOS,La Candelaria,La Candelaria,Tramo de via,MARTES   ,05,,-75.56364208,6.24872876,4716434.8986,2249163.7032
9,"(4717584.9182, 2251609.6740000024)",1580591,2017-05-02 00:00:00,06:20 AM,02,2017,Choque,CR 44 CL 78,CR  044   078  000 00000,0303,Malla vial,HERIDO,Campo Valdés No. 2,Manrique,Interseccion,MARTES   ,05,,-75.55335951,6.27089288,4717584.9182,2251609.674
10,"(4716973.7681, 2248372.882500002)",1590878,2017-07-24 00:00:00,10:20 AM,24,2017,Choque,CL 47 CR 36 A,CL  047   036 A  000 00000,0907,Malla vial,SOLO DAÑOS,Buenos Aires,Buenos Aires,Tramo de via,LUNES    ,07,,-75.55873886,6.24160284,4716973.7681,2248372.8825
